Question,Segment_Type,Segment_Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Clemson University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Clemson University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Rochester,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Rochester,Twitter,0,0
What social platform has influenced your online shopping most?,University,James Madison University,Facebook,0,0
What social platform has influenced your online shopping most?,University,James Madison University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Facebook,0,0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Twitter,0,0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Facebook,1,1
What social platform has influenced your online shopping most?,University,Michigan Technological University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Texas State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Texas State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Twitter,0,0
What social platform has influenced your online shopping most?,University,Seton Hall University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Seton Hall University,Twitter,1,0.5
What social platform has influenced your online shopping most?,University,Roger Williams University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Roger Williams University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Elon University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Elon University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Facebook,0,0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Twitter,1,1
What social platform has influenced your online shopping most?,University,United States Military Academy,Facebook,0,0
What social platform has influenced your online shopping most?,University,United States Military Academy,Twitter,0,0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Facebook,0,0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Tampa,Facebook,1,1
What social platform has influenced your online shopping most?,University,University of Tampa,Twitter,0,0
What social platform has influenced your online shopping most?,University,Essex Technical High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Essex Technical High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Twitter,0,0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,Baltimore City College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Baltimore City College,Twitter,0,0
What social platform has influenced your online shopping most?,University,New York University,Facebook,0,0
What social platform has influenced your online shopping most?,University,New York University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Facebook,0,0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Twitter,0,0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Dayton,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Dayton,Twitter,0,0
What social platform has influenced your online shopping most?,University,UMass Amherst,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,UMass Amherst,Twitter,0,0
What social platform has influenced your online shopping most?,University,Brock University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Brock University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Kutztown University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Kutztown University,Twitter,1,1
What social platform has influenced your online shopping most?,University,University of Mississippi,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Mississippi,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Mount Union,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Mount Union,Twitter,0,0
What social platform has influenced your online shopping most?,University,Duke University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Duke University,Twitter,1,0.5
What social platform has influenced your online shopping most?,University,Shippensburg University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Shippensburg University,Twitter,1,1
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Tall",Facebook,54,0.184
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Tall",Twitter,17,0.058
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Medium (Â± 3 inches)",Facebook,95,0.153
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Medium (Â± 3 inches)",Twitter,52,0.084
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Short",Facebook,40,0.18
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Short",Twitter,21,0.095
What social platform has influenced your online shopping most?,Custom,or private school? Private,Facebook,61,0.169
What social platform has influenced your online shopping most?,Custom,or private school? Private,Twitter,20,0.055
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, console mostly",Facebook,20,0.135
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, console mostly",Twitter,22,0.149
What social platform has influenced your online shopping most?,Custom,your parents make? Upper class (> $240K),Facebook,70,0.23
What social platform has influenced your online shopping most?,Custom,your parents make? Upper class (> $240K),Twitter,13,0.043
What social platform has influenced your online shopping most?,Custom,your parents make? Upper-middle class (~$160K,Facebook,71,0.157
What social platform has influenced your online shopping most?,Custom,your parents make? Upper-middle class (~$160K,Twitter,42,0.093
What social platform has influenced your online shopping most?,Custom,your parents make? Middle / lower-middle class (~$90K),Facebook,41,0.121
What social platform has influenced your online shopping most?,Custom,your parents make? Middle / lower-middle class (~$90K),Twitter,32,0.094
What social platform has influenced your online shopping most?,Custom,your parents make? Poor (< ~$50K) ðŸ˜,Facebook,15,0.112
What social platform has influenced your online shopping most?,Custom,your parents make? Poor (< ~$50K) ðŸ˜,Twitter,10,0.075
What social platform has influenced your online shopping most?,Custom,What's your major? ME/EE/other engineer,Facebook,40,0.183
What social platform has influenced your online shopping most?,Custom,What's your major? ME/EE/other engineer,Twitter,14,0.064
What social platform has influenced your online shopping most?,Custom,or private school? No school,Facebook,4,0.125
What social platform has influenced your online shopping most?,Custom,or private school? No school,Twitter,1,0.031
What social platform has influenced your online shopping most?,Custom,or private school? Public,Facebook,117,0.153
What social platform has influenced your online shopping most?,Custom,or private school? Public,Twitter,69,0.09
What social platform has influenced your online shopping most?,Custom,you vote for? Donald Trump,Facebook,87,0.175
What social platform has influenced your online shopping most?,Custom,you vote for? Donald Trump,Twitter,50,0.101
What social platform has influenced your online shopping most?,Custom,you vote for? Hillary Clinton,Facebook,197,0.236
What social platform has influenced your online shopping most?,Custom,you vote for? Hillary Clinton,Twitter,38,0.046
What social platform has influenced your online shopping most?,Custom,What's your major? Business/Econ/Finance,Facebook,39,0.245
What social platform has influenced your online shopping most?,Custom,What's your major? Business/Econ/Finance,Twitter,11,0.069
What social platform has influenced your online shopping most?,Custom,What's your major? Pre-med,Facebook,39,0.245
What social platform has influenced your online shopping most?,Custom,What's your major? Pre-med,Twitter,5,0.031
What social platform has influenced your online shopping most?,Custom,closely identify as? Asian,Facebook,51,0.266
What social platform has influenced your online shopping most?,Custom,closely identify as? Asian,Twitter,4,0.021
What social platform has influenced your online shopping most?,Custom,Are you? None/Other,Facebook,172,0.229
What social platform has influenced your online shopping most?,Custom,Are you? None/Other,Twitter,35,0.047
What social platform has influenced your online shopping most?,Custom,Are you? Jewish,Facebook,68,0.291
What social platform has influenced your online shopping most?,Custom,Are you? Jewish,Twitter,6,0.026
What social platform has influenced your online shopping most?,Custom,Are you a? SVB team member,Facebook,0,0
What social platform has influenced your online shopping most?,Custom,Are you a? SVB team member,Twitter,0,0
What social platform has influenced your online shopping most?,Custom,Are you a? Student Trekker,Facebook,1,1
What social platform has influenced your online shopping most?,Custom,Are you a? Student Trekker,Twitter,0,0
What social platform has influenced your online shopping most?,Custom,you a feminist? No,Facebook,45,0.157
What social platform has influenced your online shopping most?,Custom,you a feminist? No,Twitter,22,0.077
What social platform has influenced your online shopping most?,Custom,you a feminist? Yes,Facebook,34,0.167
What social platform has influenced your online shopping most?,Custom,you a feminist? Yes,Twitter,13,0.064
What social platform has influenced your online shopping most?,Custom,Are you single? No,Facebook,53,0.17
What social platform has influenced your online shopping most?,Custom,Are you single? No,Twitter,22,0.071
What social platform has influenced your online shopping most?,Custom,Are you single? Yes,Facebook,128,0.164
What social platform has influenced your online shopping most?,Custom,Are you single? Yes,Twitter,57,0.073
What social platform has influenced your online shopping most?,Custom,student loan debt? No,Facebook,326,0.213
What social platform has influenced your online shopping most?,Custom,student loan debt? No,Twitter,99,0.065
What social platform has influenced your online shopping most?,Custom,student loan debt? Yes,Facebook,148,0.193
What social platform has influenced your online shopping most?,Custom,student loan debt? Yes,Twitter,60,0.078
What social platform has influenced your online shopping most?,Custom,you a virgin? No,Facebook,362,0.213
What social platform has influenced your online shopping most?,Custom,you a virgin? No,Twitter,108,0.064
What social platform has influenced your online shopping most?,Custom,you a virgin? Yes,Facebook,104,0.179
What social platform has influenced your online shopping most?,Custom,you a virgin? Yes,Twitter,47,0.081
What social platform has influenced your online shopping most?,Custom,you vote for? Didn't vote,Facebook,58,0.199
What social platform has influenced your online shopping most?,Custom,you vote for? Didn't vote,Twitter,20,0.069
What social platform has influenced your online shopping most?,Custom,you vote for? Writing in Bernie,Facebook,28,0.2
What social platform has influenced your online shopping most?,Custom,you vote for? Writing in Bernie,Twitter,8,0.057
What social platform has influenced your online shopping most?,Custom,you vote for? Other,Facebook,18,0.3
What social platform has influenced your online shopping most?,Custom,you vote for? Other,Twitter,3,0.05
What social platform has influenced your online shopping most?,Custom,you vote for? Gary Johnson,Facebook,62,0.242
What social platform has influenced your online shopping most?,Custom,you vote for? Gary Johnson,Twitter,16,0.063
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Confused,Facebook,13,0.277
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Confused,Twitter,2,0.043
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Bi,Facebook,17,0.205
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Bi,Twitter,7,0.084
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Gay,Facebook,5,0.227
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Gay,Twitter,2,0.091
What social platform has influenced your online shopping most?,Custom,in Greek life? No but I wanna be...,Facebook,53,0.22
What social platform has influenced your online shopping most?,Custom,in Greek life? No but I wanna be...,Twitter,19,0.079
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Facebook,5,0.057
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Twitter,3,0.034
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Facebook,11,0.131
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Twitter,11,0.131
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Facebook,14,0.132
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Twitter,10,0.094
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Facebook,14,0.167
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Twitter,6,0.071
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Virgo (Aug 23 - Sep 22),Facebook,18,0.135
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Virgo (Aug 23 - Sep 22),Twitter,8,0.06
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Facebook,16,0.188
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Twitter,6,0.071
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Facebook,13,0.127
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Twitter,12,0.118
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Facebook,12,0.133
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Twitter,6,0.067
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Taurus (Apr 20 - May 20),Facebook,23,0.235
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Taurus (Apr 20 - May 20),Twitter,7,0.071
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Aries (Mar 21 - Apr 19),Facebook,19,0.184
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Aries (Mar 21 - Apr 19),Twitter,9,0.087
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Pisces (Feb 19 - Mar 20),Facebook,12,0.14
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Pisces (Feb 19 - Mar 20),Twitter,5,0.058
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Facebook,25,0.243
What social platform has influenced your online shopping most?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Twitter,6,0.058
What social platform has influenced your online shopping most?,Custom,grow up speaking? English,Facebook,167,0.16
What social platform has influenced your online shopping most?,Custom,grow up speaking? English,Twitter,76,0.073
What social platform has influenced your online shopping most?,Custom,"have a job? Nope, and not looking for one",Facebook,198,0.214
What social platform has influenced your online shopping most?,Custom,"have a job? Nope, and not looking for one",Twitter,68,0.073
What social platform has influenced your online shopping most?,Custom,What's your major? Comm / marketing,Facebook,37,0.308
What social platform has influenced your online shopping most?,Custom,What's your major? Comm / marketing,Twitter,6,0.05
What social platform has influenced your online shopping most?,Custom,are you pursuing? Undecided,Facebook,80,0.175
What social platform has influenced your online shopping most?,Custom,are you pursuing? Undecided,Twitter,33,0.072
What social platform has influenced your online shopping most?,Custom,are you pursuing? Humanities,Facebook,180,0.227
What social platform has influenced your online shopping most?,Custom,are you pursuing? Humanities,Twitter,47,0.059
What social platform has influenced your online shopping most?,Custom,do per month? About 1 hour,Facebook,45,0.238
What social platform has influenced your online shopping most?,Custom,do per month? About 1 hour,Twitter,8,0.042
What social platform has influenced your online shopping most?,Custom,do per month? Less than an hour,Facebook,43,0.204
What social platform has influenced your online shopping most?,Custom,do per month? Less than an hour,Twitter,20,0.095
What social platform has influenced your online shopping most?,Custom,closely identify as? Other,Facebook,20,0.217
What social platform has influenced your online shopping most?,Custom,closely identify as? Other,Twitter,1,0.011
What social platform has influenced your online shopping most?,Custom,closely identify as? Native American,Facebook,2,0.154
What social platform has influenced your online shopping most?,Custom,closely identify as? Native American,Twitter,2,0.154
What social platform has influenced your online shopping most?,Custom,What's your leaning? Liberal ðŸ”·,Facebook,186,0.223
What social platform has influenced your online shopping most?,Custom,What's your leaning? Liberal ðŸ”·,Twitter,54,0.065
What social platform has influenced your online shopping most?,Custom,What's your leaning? Conservative ðŸ˜,Facebook,144,0.196
What social platform has influenced your online shopping most?,Custom,What's your leaning? Conservative ðŸ˜,Twitter,60,0.082
What social platform has influenced your online shopping most?,Custom,I'm in? Other,Facebook,3,0.158
What social platform has influenced your online shopping most?,Custom,I'm in? Other,Twitter,0,0
What social platform has influenced your online shopping most?,Custom,I'm in? Grad School,Facebook,7,0.171
What social platform has influenced your online shopping most?,Custom,I'm in? Grad School,Twitter,3,0.073
What social platform has influenced your online shopping most?,Custom,"have a job? Yes, full-time",Facebook,23,0.187
What social platform has influenced your online shopping most?,Custom,"have a job? Yes, full-time",Twitter,6,0.049
What social platform has influenced your online shopping most?,Custom,What's your GPA? 3.0 to 4.0,Facebook,347,0.222
What social platform has influenced your online shopping most?,Custom,What's your GPA? 3.0 to 4.0,Twitter,99,0.063
What social platform has influenced your online shopping most?,Custom,What's your GPA? Below 1.0 ðŸ˜,Facebook,9,0.188
What social platform has influenced your online shopping most?,Custom,What's your GPA? Below 1.0 ðŸ˜,Twitter,4,0.083
What social platform has influenced your online shopping most?,Custom,closely identify as? Black,Facebook,13,0.138
What social platform has influenced your online shopping most?,Custom,closely identify as? Black,Twitter,8,0.085
What social platform has influenced your online shopping most?,Custom,Mac or PC? Other ðŸ§,Facebook,8,0.154
What social platform has influenced your online shopping most?,Custom,Mac or PC? Other ðŸ§,Twitter,4,0.077
What social platform has influenced your online shopping most?,Custom,in Greek life? No!,Facebook,98,0.166
What social platform has influenced your online shopping most?,Custom,in Greek life? No!,Twitter,44,0.074
What social platform has influenced your online shopping most?,Custom,Mac or PC? Mac ðŸ–¥,Facebook,313,0.215
What social platform has influenced your online shopping most?,Custom,Mac or PC? Mac ðŸ–¥,Twitter,93,0.064
What social platform has influenced your online shopping most?,Custom,in Greek life? Yes but regretting it,Facebook,20,0.222
What social platform has influenced your online shopping most?,Custom,in Greek life? Yes but regretting it,Twitter,7,0.078
What social platform has influenced your online shopping most?,Custom,in Greek life? Yes!,Facebook,267,0.247
What social platform has influenced your online shopping most?,Custom,in Greek life? Yes!,Twitter,58,0.054
What social platform has influenced your online shopping most?,Custom,you vote for? Jill Stein,Facebook,5,0.192
What social platform has influenced your online shopping most?,Custom,you vote for? Jill Stein,Twitter,4,0.154
What social platform has influenced your online shopping most?,Custom,What's your GPA? 2.0 to 3.0,Facebook,76,0.176
What social platform has influenced your online shopping most?,Custom,What's your GPA? 2.0 to 3.0,Twitter,34,0.079
What social platform has influenced your online shopping most?,Custom,What's your GPA? 1.0 to 2.0,Facebook,1,0.03
What social platform has influenced your online shopping most?,Custom,What's your GPA? 1.0 to 2.0,Twitter,4,0.121
What social platform has influenced your online shopping most?,Custom,games a lot? No,Facebook,14,0.147
What social platform has influenced your online shopping most?,Custom,games a lot? No,Twitter,6,0.063
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, mobile mostly",Facebook,1,0.077
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, mobile mostly",Twitter,0,0
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, PC mostly",Facebook,7,0.085
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, PC mostly",Twitter,4,0.049
What social platform has influenced your online shopping most?,Custom,What's your major? Languages,Facebook,9,0.29
What social platform has influenced your online shopping most?,Custom,What's your major? Languages,Twitter,1,0.032
What social platform has influenced your online shopping most?,Custom,What's your major? Visual/performing arts,Facebook,3,0.136
What social platform has influenced your online shopping most?,Custom,What's your major? Visual/performing arts,Twitter,1,0.045
What social platform has influenced your online shopping most?,Custom,What's your major? History,Facebook,8,0.205
What social platform has influenced your online shopping most?,Custom,What's your major? History,Twitter,0,0
What social platform has influenced your online shopping most?,Custom,"have a job? No, but I'm searching for one",Facebook,98,0.205
What social platform has influenced your online shopping most?,Custom,"have a job? No, but I'm searching for one",Twitter,25,0.052
What social platform has influenced your online shopping most?,Custom,Mac or PC? PC ðŸ’»,Facebook,145,0.193
What social platform has influenced your online shopping most?,Custom,Mac or PC? PC ðŸ’»,Twitter,54,0.072
What social platform has influenced your online shopping most?,Custom,What's your major? Other,Facebook,31,0.242
What social platform has influenced your online shopping most?,Custom,What's your major? Other,Twitter,7,0.055
What social platform has influenced your online shopping most?,Custom,grow up speaking? Some other language (comment),Facebook,18,0.175
What social platform has influenced your online shopping most?,Custom,grow up speaking? Some other language (comment),Twitter,8,0.078
What social platform has influenced your online shopping most?,Custom,grow up speaking? Both,Facebook,5,0.116
What social platform has influenced your online shopping most?,Custom,grow up speaking? Both,Twitter,6,0.14
What social platform has influenced your online shopping most?,Custom,grow up speaking? Spanish,Facebook,4,0.174
What social platform has influenced your online shopping most?,Custom,grow up speaking? Spanish,Twitter,5,0.217
What social platform has influenced your online shopping most?,Custom,clubs / organizations? More than one major org,Facebook,14,0.304
What social platform has influenced your online shopping most?,Custom,clubs / organizations? More than one major org,Twitter,2,0.043
What social platform has influenced your online shopping most?,Custom,clubs / organizations? A major one,Facebook,49,0.257
What social platform has influenced your online shopping most?,Custom,clubs / organizations? A major one,Twitter,10,0.052
What social platform has influenced your online shopping most?,Custom,clubs / organizations? A minor one,Facebook,66,0.258
What social platform has influenced your online shopping most?,Custom,clubs / organizations? A minor one,Twitter,13,0.051
What social platform has influenced your online shopping most?,Custom,clubs / organizations? No,Facebook,320,0.207
What social platform has influenced your online shopping most?,Custom,clubs / organizations? No,Twitter,105,0.068
What social platform has influenced your online shopping most?,Custom,do per month? More than 10 hours ðŸ˜‡,Facebook,12,0.179
What social platform has influenced your online shopping most?,Custom,do per month? More than 10 hours ðŸ˜‡,Twitter,1,0.015
What social platform has influenced your online shopping most?,Custom,do per month? 1 to 10 hours,Facebook,92,0.253
What social platform has influenced your online shopping most?,Custom,do per month? 1 to 10 hours,Twitter,27,0.074
What social platform has influenced your online shopping most?,Custom,closely identify as? Hispanic,Facebook,20,0.177
What social platform has influenced your online shopping most?,Custom,closely identify as? Hispanic,Twitter,11,0.097
What social platform has influenced your online shopping most?,Custom,are you pursuing? Technical / engineering,Facebook,160,0.224
What social platform has influenced your online shopping most?,Custom,are you pursuing? Technical / engineering,Twitter,40,0.056
What social platform has influenced your online shopping most?,Custom,What's your major? Comp sci,Facebook,18,0.261
What social platform has influenced your online shopping most?,Custom,What's your major? Comp sci,Twitter,3,0.043
What social platform has influenced your online shopping most?,Custom,I'm in? Post-grad,Facebook,15,0.158
What social platform has influenced your online shopping most?,Custom,I'm in? Post-grad,Twitter,1,0.011
What social platform has influenced your online shopping most?,Custom,"have a job? Yes, part-time",Facebook,147,0.202
What social platform has influenced your online shopping most?,Custom,"have a job? Yes, part-time",Twitter,56,0.077
What social platform has influenced your online shopping most?,Custom,What's your major? Other,Facebook,88,0.209
What social platform has influenced your online shopping most?,Custom,What's your major? Other,Twitter,26,0.062
What social platform has influenced your online shopping most?,Custom,What's your major? Political science / philosophy,Facebook,38,0.232
What social platform has influenced your online shopping most?,Custom,What's your major? Political science / philosophy,Twitter,8,0.049
What social platform has influenced your online shopping most?,Custom,I'm in? College,Facebook,499,0.215
What social platform has influenced your online shopping most?,Custom,I'm in? College,Twitter,151,0.065
What social platform has influenced your online shopping most?,Custom,I'm in? High School,Facebook,29,0.105
What social platform has influenced your online shopping most?,Custom,I'm in? High School,Twitter,32,0.116
What social platform has influenced your online shopping most?,Custom,"do per month? Realistically, none",Facebook,231,0.194
What social platform has influenced your online shopping most?,Custom,"do per month? Realistically, none",Twitter,78,0.065
What social platform has influenced your online shopping most?,Custom,What's your leaning? In-between,Facebook,132,0.196
What social platform has influenced your online shopping most?,Custom,What's your leaning? In-between,Twitter,36,0.054
What social platform has influenced your online shopping most?,Custom,Are you? Muslim,Facebook,3,0.143
What social platform has influenced your online shopping most?,Custom,Are you? Muslim,Twitter,2,0.095
What social platform has influenced your online shopping most?,Custom,Are you? Christian,Facebook,231,0.208
What social platform has influenced your online shopping most?,Custom,Are you? Christian,Twitter,85,0.076
What social platform has influenced your online shopping most?,Custom,Graduation Year 2017,Facebook,61,0.274
What social platform has influenced your online shopping most?,Custom,Graduation Year 2017,Twitter,5,0.022
What social platform has influenced your online shopping most?,Custom,Graduation Year 2018,Facebook,88,0.244
What social platform has influenced your online shopping most?,Custom,Graduation Year 2018,Twitter,17,0.047
What social platform has influenced your online shopping most?,Custom,What's your GPA? Above 4.0 ðŸ˜,Facebook,19,0.131
What social platform has influenced your online shopping most?,Custom,What's your GPA? Above 4.0 ðŸ˜,Twitter,10,0.069
What social platform has influenced your online shopping most?,Custom,Graduation Year 2019,Facebook,221,0.262
What social platform has influenced your online shopping most?,Custom,Graduation Year 2019,Twitter,46,0.055
What social platform has influenced your online shopping most?,Custom,Graduation Year 2020,Facebook,74,0.155
What social platform has influenced your online shopping most?,Custom,Graduation Year 2020,Twitter,47,0.099
What social platform has influenced your online shopping most?,Custom,closely identify as? White,Facebook,352,0.224
What social platform has influenced your online shopping most?,Custom,closely identify as? White,Twitter,102,0.065
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Straight,Facebook,215,0.18
What social platform has influenced your online shopping most?,Custom,Sexual orientation? Straight,Twitter,88,0.074
